Time (s),Voltage (V),Speed (steps/s)
0.0,10.0,0.0
0.05014920234680176,10.0,0.0
0.1007835865020752,10.0,1799.82
0.15092945098876953,10.0,3398.3
0.20144248008728027,10.0,4099.59
0.25159740447998047,10.0,4499.1
0.3024425506591797,10.0,4798.08
0.35245800018310547,10.0,4899.51
0.40296244621276855,10.0,5098.98
0.4531388282775879,10.0,5096.94
0.5033421516418457,10.0,5196.36
0.5540072917938232,10.0,5199.48
0.6041481494903564,10.0,5196.88
0.6550929546356201,10.0,5196.36
0.7052407264709473,10.0,5196.36
0.7561736106872559,10.0,5198.96
0.8062551021575928,10.0,5196.36
0.8568029403686523,10.0,5198.44
0.9068031311035156,10.0,5189.97
0.9577009677886963,10.0,5198.44
1.0084562301635742,10.0,5128.67
1.0598208904266357,10.0,5297.35
1.1099016666412354,10.0,5296.82
1.1600921154022217,10.0,5196.88
1.210188388824463,10.0,5297.35
1.260453462600708,10.0,5199.48
1.3105483055114746,10.0,5196.36
1.3607208728790283,10.0,5196.36
1.4108119010925293,10.0,5198.96
1.460979700088501,10.0,5298.41
1.5109906196594238,10.0,5198.96
1.5622122287750244,10.0,5298.41
1.6126418113708496,10.0,5198.44
1.6629137992858887,10.0,5197.4
1.7133069038391113,10.0,5299.47
1.7635738849639893,10.0,5199.48
1.8136663436889648,10.0,5296.82
1.863844871520996,10.0,5296.82
1.9139456748962402,10.0,5196.36
1.9641215801239014,10.0,5298.41
2.0142247676849365,10.0,5299.47
2.0650806427001953,10.0,5296.29
2.1150925159454346,10.0,5296.29
2.165724754333496,10.0,5299.47
2.2158236503601074,10.0,5198.44
2.266374349594116,10.0,5197.4
2.3164703845977783,10.0,5297.88
2.366738796234131,10.0,5299.47
2.4168317317962646,10.0,5297.35
2.467102527618408,10.0,5197.92
2.517199993133545,10.0,5297.35
2.5678884983062744,10.0,5199.48
2.6179792881011963,10.0,5296.82
2.6682190895080566,10.0,5297.35
2.7186813354492188,10.0,5198.44
2.768871307373047,10.0,5298.94
2.8241357803344727,10.0,5296.29
2.8744125366210938,10.0,5297.35
2.924867868423462,10.0,5298.41
2.9751694202423096,10.0,5197.4
3.025358200073242,10.0,5196.88
